observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
78,Atlanta_sub72971,-0.8344621535949056,-1.4553177549558807,-0.9533202255900669,-1.8397164295449362,-1.3946960497020864
79,Atlanta_sub75153,-2.0384362666113423,-1.8260853725767787,-0.949713108355839,-0.8118127149742297,-2.6927695584992195
80,Atlanta_sub76280,-2.638826459014536,-0.8853616217514624,-1.6930319159276068,-0.8251729681236387,-1.2142955452446729
81,Atlanta_sub81596,-0.9678380382830228,-2.583550893684464,-1.0070594831411754,-1.4277704935132616,-0.9893342600643112
82,Atlanta_sub86323,-0.7348563870039492,-1.4463508431604875,-0.7164826714546155,-1.1308967590055852,-0.7784935124883643
83,Atlanta_sub91049,-0.723307609612154,-0.9392278297772185,-1.764267998951216,-1.467452579606024,-0.7738889491472429
84,Baltimore_sub17017,-1.1008658791695543,-2.629112193196272,-0.7334261023470556,-1.104286395034301,-0.8143141642876989
85,Baltimore_sub19738,-2.527839893705572,-1.69690118101889,-4.034405051981143,-0.8219839080541463,-2.0082029814799665
86,Baltimore_sub23750,-0.7589846717214709,-0.9598510904272491,-0.7621358961099112,-0.8232462182567001,-0.837760887447563
87,Baltimore_sub23927,-0.9794918207138275,-1.1342413755969354,-0.6907756688378175,-0.9835871228544041,-0.8318641994205312
88,Baltimore_sub29158,-0.8105735549793495,-1.560081922717079,-2.0824225422236005,-1.5516600350747112,-0.9649300467420189
89,Baltimore_sub30072,-0.7567003347263757,-0.9836287675900904,-0.928691619011245,-1.4046791389041482,-0.7651170617423263
90,Baltimore_sub31837,-0.9744557175695739,-1.2125612176447211,-0.9583290601769807,-1.6349809991162183,-0.7174633721052506
91,Baltimore_sub37548,-0.843649729326975,-0.8881582464204559,-1.1293523396252343,-0.8396368837608381,-0.7705657702282689
92,Baltimore_sub52358,-1.1270051405363666,-0.9805049779673717,-0.8127816416789561,-1.0071376893483295,-1.1345674164381008
93,Baltimore_sub54257,-0.9551799532310578,-1.5374886227968163,-0.9377223958743093,-1.25158894977748,-1.3432749666516348
94,Baltimore_sub54329,-0.7394382251557174,-0.937575821183493,-0.745832362436041,-0.9467468503240809,-0.709978926554949
95,Baltimore_sub73823,-1.252834576784905,-0.8621398160034712,-0.8133527494737977,-0.8380055004795327,-0.7877650787198012
96,Baltimore_sub76160,-1.3166321806537833,-0.9685484811437124,-1.397240019978143,-0.8199257305409682,-0.7858842300269403
97,Baltimore_sub77572,-0.8587591170639312,-0.8596997234768954,-0.732248935026366,-0.815366226736856,-0.7414599138633712
98,Baltimore_sub80221,-0.9603941405355471,-2.4176252903907254,-0.7584380499337519,-2.6642212640074896,-0.8877713461007513
99,Baltimore_sub81887,-1.13867616296721,-0.8954175267129514,-1.2951569571055344,-1.092216043804745,-0.7010992805535793
100,Baltimore_sub85922,-1.0588845377688882,-1.5202778060089828,-0.9454193454915166,-0.9324143212589423,-0.7100621473868675
