observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
186,Beijing_Zang_sub30310,-0.7862980953845469,-1.689673539998616,-0.636132305929948,-0.9748624769309385,-0.9636819002390385
187,Beijing_Zang_sub30556,-1.747282512066119,-1.1120157493904836,-0.7364336616823188,-0.7972843877817483,-2.220149224705842
188,Beijing_Zang_sub30616,-0.9501029108372017,-0.8448194022657586,-0.6374837612167507,-0.8471595717090215,-0.9893738299104643
189,Beijing_Zang_sub30988,-0.9275757211182235,-0.851613009231516,-0.6629192792954541,-0.7978128237565398,-1.1989577999560974
190,Beijing_Zang_sub31058,-0.9276550022046413,-1.473367599995452,-0.6998334618613565,-0.8105595422973271,-1.2498718081993823
191,Beijing_Zang_sub31729,-1.1430092965113416,-1.2373221368709286,-0.6769253433419794,-0.8065311570151688,-4.0475018940559355
192,Beijing_Zang_sub32517,-0.9927071286792861,-1.1161790440599046,-0.9235894736384311,-1.9596603075295347,-1.0851104843817858
193,Beijing_Zang_sub32587,-0.8637106844997386,-0.85658241805039,-2.0893700647574946,-1.0571028352963745,-1.0257794747493063
194,Beijing_Zang_sub33747,-1.057270348855344,-0.8301264178962788,-1.4529466773971857,-0.9334366133526529,-0.8187784733636699
195,Beijing_Zang_sub33943,-1.7814560335473593,-1.2283678833291398,-1.029951338903729,-0.7961057875731624,-1.4166725802925009
197,Beijing_Zang_sub34895,-1.1644728575204968,-0.8273388475290264,-0.9947528081844186,-1.0264680092970802,-1.5252998417657
198,Beijing_Zang_sub34943,-0.9572717311150557,-1.1314350705338851,-1.6220071226102504,-0.823291475979474,-0.8613117219345732
199,Beijing_Zang_sub35309,-0.9508446653241476,-1.8892525841964056,-0.8288406313400197,-1.0552988044548897,-0.8004391503875709
202,Beijing_Zang_sub36580,-0.8407317597565324,-2.06504815121276,-0.640438343080623,-1.089372624053056,-0.7911750884483629
204,Beijing_Zang_sub37602,-3.6727470347596225,-1.232404323899487,-1.0910424570946902,-2.259211220599233,-1.2010646468198547
205,Beijing_Zang_sub38602,-0.8560865879577896,-1.1037116836742076,-0.8037683945471469,-0.8060856029306651,-0.9062100368133625
207,Beijing_Zang_sub40037,-0.8059738216100735,-1.9541259069674013,-1.0855821316606205,-0.8035528371931432,-1.2332441019544778
208,Beijing_Zang_sub40427,-0.8008374202356722,-2.8000081203186866,-1.5096126136393502,-0.8354784675506174,-0.8127916197506059
209,Beijing_Zang_sub41170,-3.7376465396818372,-1.935609922375932,-4.263680825238676,-1.8657373072785808,-5.279763763514258
210,Beijing_Zang_sub41621,-0.8982631454725045,-2.327984464222631,-0.9538468570658409,-1.0346727704680942,-0.974709673570439
211,Beijing_Zang_sub42512,-1.3835411556564143,-2.05474979612116,-2.090939670143085,-1.437609431050471,-1.632172922243989
212,Beijing_Zang_sub42555,-0.8581982762740592,-0.8963684391736211,-1.2456511485148534,-1.203626508492351,-1.0771355198499972
213,Beijing_Zang_sub42843,-0.8009912855945895,-1.1563954771167229,-0.7359965898214109,-1.3451237024173084,-0.9210253809853909
214,Beijing_Zang_sub43290,-0.9723050834856019,-0.858112961294918,-0.7365515271041714,-0.801985027289201,-1.5823404047442697
215,Beijing_Zang_sub44573,-1.1172821063745997,-0.9420580545148604,-0.7413312425227704,-1.0662106891740952,-0.8414451554543291
216,Beijing_Zang_sub45552,-1.3166754649377324,-1.0738853039665095,-3.4045304521408815,-0.8050715378825217,-2.9858770528220977
217,Beijing_Zang_sub46058,-0.8887758790235489,-1.4621184796608007,-0.8160932250223148,-0.9745431806447261,-0.7614451331590903
